Year	id	Country	Preservation Requests	Preservation Accounts Preserved	Total Data Requests	Total Users/Accounts Requested	Percent Requests Where Some Data Produced	Legal Process Request Total	Legal Process Request Total Accounts	Legal Process Request Total Percentage	Emergency Request Total	Emergency Request Total Accounts	Emergency Request Total Percentage	Emergency Disclosures Accounts	Emergency Disclosures	Emergency Disclosures Percentage	Search Warrant	Search Warrant Accounts	Search Warrant Percentage	Subpoena	Subpoena Accounts	Subpoena Percentage	Court Order (Other)	Court Order (Other) Accounts	Court Order (Other) Percentage	Court Order (18 USC 2703(d))	Court Order (18 USC 2703(d)) Accounts	Court Order (18 USC 2703(d)) Percentage	Pen Register/Trap and Trace	Pen Register/Trap and Trace Accounts	Pen Register/Trap and Trace Percentage	Title III,Title III Accounts	Title III Percentage	Title III	Title III Accounts	NSLs	NSLs Accounts
2016	FRA	France	598.0	858.0	8241.0	9240.0	64.075	8122.0	9119.0	63.985	119.0	121.0	70.22999999999999																								
2016	GEO	Georgia	32.0	46.0	45.0	86.0	70.0	32.0	75.0	74.545	13.0	11.0	58.75																								
2016	DEU	Germany	548.0	861.0	8117.0	10230.0	50.775000000000006	7896.0	9915.0	50.195	221.0	315.0	71.205																								
2016	GHA	Ghana	0.0	0.0	5.0	6.0	0.0	4.0	5.0	0.0	1.0	1.0	0.0																								
2016	GRC	Greece	225.0	306.0	601.0	791.0	69.675	434.0	620.0	64.2	167.0	171.0	83.81																								
2016	GTM	Guatemala	44.0	124.0	60.0	127.0	69.22999999999999	43.0	101.0	67.10499999999999	17.0	26.0	75.0																								
2016	HND	Honduras	0	0	2	2	0%	1	1	0%	1	1	0%																								
2016	HKG	Hong Kong	57.0	76.0	321.0	437.0	51.905	321.0	437.0	51.905	0.0	0.0	0.0																								
2016	HUN	Hungary	40.0	56.0	358.0	446.0	50.135000000000005	356.0	443.0	50.125	2.0	3.0	50.0																								
2016	IND	India	1526.0	2313.0	13613.0	18222.0	52.765	13492.0	18024.0	52.665000000000006	121.0	198.0	64.905																								
2016	IDN	Indonesia	27.0	32.0	30.0	35.0	16.665	23.0	27.0	12.5	7.0	8.0	30.0																								
2016	IRQ	Iraq	3	3	1	1	0%	1	1	0%	0	0	0%																								
2016	IRL	Ireland	226.0	477.0	168.0	164.0	72.46000000000001	162.0	157.0	72.82	6.0	7.0	40.0																								
2016	ISR	Israel	82.0	98.0	710.0	831.0	74.61500000000001	486.0	610.0	74.93	224.0	221.0	75.725																								
2016	ITA	Italy	1129.0	1646.0	3789.0	6107.0	58.235	3708.0	6021.0	57.945	81.0	86.0	71.61500000000001																								
2016	CIV	Ivory Coast	1.0	1.0	2.0	2.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0																								
2016	JPN	Japan	2.0	2.0	15.0	16.0	39.775	6.0	6.0	25.0	9.0	10.0	42.5																								
2016	JOR	Jordan	5.0	5.0	80.0	114.0	23.455	33.0	44.0	29.445	47.0	70.0	18.515																								
2016	OSA	Kosovo	1.0	2.0	18.0	28.0	53.245000000000005	8.0	15.0	16.665	10.0	13.0	88.89																								
2016	LBN	Lebanon	1.0	1.0	12.0	15.0	55.555	7.0	9.0	14.285	5.0	6.0	83.33500000000001																								
2016	LTU	Lithuania	48.0	69.0	79.0	298.0	82.31	73.0	290.0	80.85499999999999	6.0	8.0	100.0																								
2016	LUX	Luxembourg	16.0	19.0	2.0	2.0	50.0	2.0	2.0	50.0	0.0	0.0	0.0																								
2016	168	Macau	0.0	0.0	26.0	28.0	90.475	26.0	28.0	90.475	0.0	0.0	0.0																								
2016	MKD	Macedonia	2.0	2.0	68.0	133.0	64.75999999999999	67.0	132.0	64.205	1.0	1.0	50.0																								
